"date","REGION","price"
1998-12-07,"NSW1",464.444054070191
1998-12-07,"QLD1",36.6631765889331
1998-12-07,"SA1",1795.90346744846
1998-12-07,"SNOWY1",333.744401100537
1998-12-07,"VIC1",391.876807149954
1998-12-08,"NSW1",164.74818563595
1998-12-08,"QLD1",33.5067457843757
1998-12-08,"SA1",3362.70621325221
1998-12-08,"SNOWY1",94.0198294024671
1998-12-08,"VIC1",165.411060150765
1998-12-09,"NSW1",140.645424517422
1998-12-09,"QLD1",33.9251689579221
1998-12-09,"SA1",2208.30110122408
1998-12-09,"SNOWY1",97.8875089077428
1998-12-09,"VIC1",137.860046829475
1998-12-10,"NSW1",180.772407656336
1998-12-10,"QLD1",36.3889552863322
1998-12-10,"SA1",1831.12611073989
1998-12-10,"SNOWY1",188.200120820799
1998-12-10,"VIC1",191.425223178584
1998-12-11,"NSW1",264.001980273914
1998-12-11,"QLD1",27.5670333121429
1998-12-11,"SA1",344.748654042532
1998-12-11,"SNOWY1",291.188440023348
1998-12-11,"VIC1",251.509900377457
1998-12-12,"NSW1",108.829611231122
1998-12-12,"QLD1",27.4373995987485
1998-12-12,"SA1",160.222778426615
1998-12-12,"SNOWY1",34.2892396948203
1998-12-12,"VIC1",114.756984148413
1998-12-13,"NSW1",23.5500264820443
1998-12-13,"QLD1",19.9006623443816
1998-12-13,"SA1",29.4445552920499
1998-12-13,"SNOWY1",23.2857869033367
1998-12-13,"VIC1",21.648875407837
1998-12-14,"NSW1",29.2943606903322
1998-12-14,"QLD1",31.3856282841132
1998-12-14,"SA1",41.3768377112055
1998-12-14,"SNOWY1",33.6784681096166
1998-12-14,"VIC1",28.0897354932622
1998-12-15,"NSW1",17.8214546753709
1998-12-15,"QLD1",28.1717562095517
1998-12-15,"SA1",40.1281042533773
1998-12-15,"SNOWY1",18.7411085073502
1998-12-15,"VIC1",18.704453022866
1998-12-16,"NSW1",18.5232103080638
1998-12-16,"QLD1",39.7696434556905
1998-12-16,"SA1",37.2991908458775
1998-12-16,"SNOWY1",18.8398310067471
1998-12-16,"VIC1",19.3915406622977
1998-12-17,"NSW1",29.1797712921625
1998-12-17,"QLD1",38.1272486377598
1998-12-17,"SA1",40.1521853374732
1998-12-17,"SNOWY1",32.2765803660593
1998-12-17,"VIC1",28.9106484033647
1998-12-18,"NSW1",24.9812702582547
1998-12-18,"QLD1",34.9859195798972
