"week","price"
"1998-49",408.958167695039
"1998-50",146.710885518292
"1998-51",25.6722139181837
"1998-52",22.3525614380736
"1998-53",27.647002932346
"1999-1",25.9083412882054
"1999-14",15.0979733007861
"1999-15",16.3127133723497
"1999-16",18.7985376680197
"1999-17",31.1103732905268
"1999-18",27.8903416281391
"1999-19",35.4292978794418
"1999-20",32.3721587027441
"1999-21",33.2776743926261
"1999-22",29.8466784492613
"1999-23",30.4608638421788
"1999-24",35.059855302212
"1999-25",35.183595700229
"1999-26",32.2719851681267
"1999-27",29.9816341635117
"1999-28",25.6535669497709
"1999-29",24.9478200403875
"1999-30",30.378056104201
"1999-31",31.2103191621618
"1999-32",29.2634574075579
"1999-33",39.3216789198085
"1999-34",43.4061698156789
"1999-35",25.3466897321605
"1999-36",24.762415004199
"1999-37",22.5552772570667
"1999-38",22.9006369055446
"1999-39",17.7486271684292
"1999-40",17.7503183355213
"1999-41",20.7920395764148
"1999-42",24.4917230538754
"1999-43",26.4050416685842
"1999-44",25.5328352497717
"1999-45",23.7738553535886
"1999-46",23.4413772630055
"1999-47",29.4205494763796
"1999-48",38.3673862182927
"1999-49",35.1637044507006
"1999-50",23.4148705114901
"1999-51",23.5882909509886
"1999-52",17.4851649239419
"1999-53",18.4235766925584
"2000-1",17.4916969337893
"2000-10",33.3027575227517
"2000-11",32.9083893079095
"2000-12",39.4175210338321
"2000-13",45.5287285503212
"2000-14",36.8126094255354
"2000-15",25.1122191243144
"2000-16",21.7532838579704
"2000-17",20.1104555247585
"2000-18",23.6738321527725
"2000-19",22.7085893238623
"2000-2",30.0338078414832
"2000-20",33.0157514654068
"2000-21",40.2896812496308
"2000-22",120.616503003195
"2000-23",82.8525169721079
"2000-24",60.8360319635637
"2000-25",34.6046510076697
"2000-26",57.9404571524049
"2000-27",58.6452832987172
"2000-28",48.105823221402
"2000-29",59.8542804147554
"2000-3",49.4892233473473
"2000-30",50.593215829202
"2000-31",51.8079539441897
"2000-32",55.3163152409199
"2000-33",57.9750097522924
"2000-34",50.5741614884432
"2000-35",85.5589702433651
"2000-36",58.49363492424
"2000-37",32.0729386212764
"2000-38",20.1838460558375
"2000-39",22.9684077413531
"2000-4",115.617104020215
"2000-40",27.0818594923817
"2000-41",30.1606813730664
"2000-42",37.5023312826601
"2000-43",37.1901049069531
"2000-44",67.9469570518968
"2000-45",44.4058612640792
"2000-46",30.6286100796283
"2000-47",28.2484268264096
"2000-48",38.8486724152889
"2000-49",25.7726989693289
"2000-5",98.3502846876382
"2000-50",48.4071774578709
"2000-51",31.6249958511385
"2000-52",24.6203333983541
"2000-53",16.6300429343593
"2000-6",46.2749829723228
"2000-7",27.9848613775145
"2000-8",38.0131255403945
"2000-9",50.629255047367
"2001-1",34.1654850594776
"2001-10",34.7034909070539
"2001-11",37.9709491238112
"2001-12",35.1387835812167
"2001-13",53.2402585207348
"2001-14",29.2701064949245
"2001-15",27.8999626799063
"2001-16",26.9151653744212
"2001-17",33.995574858684
"2001-18",35.0770789147063
"2001-19",32.1382516846896
"2001-2",43.7950334045925
"2001-20",37.9847557301358
"2001-21",43.0294585598678
"2001-22",40.2050158947403
"2001-23",36.958243295831
"2001-24",32.4369706861452
"2001-25",32.4804016757513
"2001-26",28.5681050636484
"2001-27",30.9872292571864
"2001-28",27.5477528286496
"2001-29",25.4082016147172
"2001-3",64.2599169463252
"2001-30",28.2621930199203
"2001-31",26.5409110174481
"2001-32",26.3605261667794
"2001-33",26.5585668074114
"2001-34",30.6179881546253
"2001-35",45.8101742034704
"2001-36",27.5534689586485
"2001-37",26.2775403265809
"2001-38",24.5873842766429
"2001-39",23.0948940800732
"2001-4",156.976680597245
"2001-40",28.247305800414
"2001-41",28.6973898903569
"2001-42",33.5518366352425
"2001-43",30.5806262395769
"2001-44",37.3126656214641
"2001-45",21.5115856961455
"2001-46",24.9393151757091
"2001-47",23.2086233177124
"2001-48",20.0471074253106
"2001-49",23.2108114768758
"2001-5",54.7957523509205
"2001-50",24.5780020027837
"2001-51",52.2503997531419
"2001-52",22.622452360905
"2001-53",19.4798026323546
"2001-6",155.377621975848
"2001-7",33.5066989615182
"2001-8",60.3311885835262
"2001-9",36.5194661003057
"2002-1",22.0272757124455
"2002-10",25.7566757267908
"2002-11",30.024996596748
"2002-12",31.9365474092908
"2002-13",21.5713322211908
"2002-14",23.3792892767491
"2002-15",28.179286939661
"2002-16",28.7958158520429
"2002-17",28.7950420525459
"2002-18",35.5466469015002
"2002-19",29.4036662505344
"2002-2",31.5520780540562
"2002-20",56.2318721761729
"2002-21",132.556178756601
"2002-22",130.731373349332
"2002-23",59.5567723769427
"2002-24",27.450493888345
"2002-25",73.5409432604082
"2002-26",86.2806145209465
"2002-27",98.0765862337572
"2002-28",67.9722318598561
"2002-29",42.0463219986973
"2002-3",27.9780180886553
"2002-30",83.0747195145143
"2002-31",35.5611852902291
"2002-32",30.7915060500227
"2002-33",30.8726880929516
"2002-34",28.4482085229772
"2002-35",28.7307344113798
"2002-36",26.9602871362131
"2002-37",31.9799426196225
"2002-38",34.7176798211435
"2002-39",30.9218581732648
"2002-4",27.5577580207801
"2002-40",26.425531763168
"2002-41",27.507225216964
"2002-42",32.0706208662749
"2002-43",40.2412438620713
"2002-44",24.1633173403913
"2002-45",29.7413819060921
"2002-46",24.3576212308987
"2002-47",25.7431640198147
"2002-48",76.6042850068752
"2002-49",133.797314278951
"2002-5",46.9710438910159
"2002-50",30.9084103370898
"2002-51",48.6868445493258
"2002-52",21.9993858378667
"2002-53",28.6704573784512
